COMPANY NAME,BSE CODE,NSE SYMBOL,BS LINK
Aarey Drugs,524412,,https://www.business-standard.com/company/aarey-drugs-3360.html
Aarnav Fashions,539562,,https://www.business-standard.com/company/aarnav-fashions-67535.html
Aaron Industries,535103,AARON,https://www.business-standard.com/company/aaron-industries-73160.html
Aartech Solonics,542580,,https://www.business-standard.com/company/aartech-solonics-73294.html
Aarti Drugs,524348,AARTIDRUGS,https://www.business-standard.com/company/aarti-drugs-2975.html
Aarti Inds.,524208,AARTIIND,https://www.business-standard.com/company/aarti-inds-2378.html
AARV Infratel,526488,,https://www.business-standard.com/company/aarv-infratel-3827.html
Aarvee Denims,514274,AARVEEDEN,https://www.business-standard.com/company/aarvee-denims-3100.html
Aarvi Encon,535014,AARVI,https://www.business-standard.com/company/aarvi-encon-44508.html
Aarya Global,531731,,https://www.business-standard.com/company/aarya-global-6559.html
Aasheesh Sec.,531514,,https://www.business-standard.com/company/aasheesh-sec-6692.html
Aastha Broadcas.,503673,,https://www.business-standard.com/company/aastha-broadcas-6220.html
Aaswa Trad.& Exp,512038,,https://www.business-standard.com/company/aaswa-trad-exp-6424.html
AAVAS Financiers,541988,AAVAS,https://www.business-standard.com/company/aavas-financiers-45828.html
AAYUSH FOOD&HERB,539528,,https://www.business-standard.com/company/aayush-food-herb-51492.html
Abacus Computer,508987,,https://www.business-standard.com/company/abacus-computer-4.html
Aban Offshore,523204,ABAN,https://www.business-standard.com/company/aban-offshore-1093.html
ABans Enterprise,512165,,https://www.business-standard.com/company/abans-enterprise-24601.html
Abbott India,500488,ABBOTINDIA,https://www.business-standard.com/company/abbott-india-90.html
ABC Gas (Int.),513119,,https://www.business-standard.com/company/abc-gas-int-1101.html
ABC India,520123,,https://www.business-standard.com/company/abc-india-3725.html
Abee Info-Consu.,530833,,https://www.business-standard.com/company/abee-info-consu-5257.html
ABG Shipyard,532682,ABGSHIP,https://www.business-standard.com/company/abg-shipyard-14852.html
Abhijit Trading,539560,,https://www.business-standard.com/company/abhijit-trading-42583.html
Abhinav Capital,532057,,https://www.business-standard.com/company/abhinav-capital-5990.html
Abhinav Leasing,538952,,https://www.business-standard.com/company/abhinav-leasing-24399.html
Abhishek Corp.,532831,ABHISHEK,https://www.business-standard.com/company/abhishek-corp-27367.html
Abhishek Finle.,538935,,https://www.business-standard.com/company/abhishek-finle-6907.html
Abhishek Infra.,539544,,https://www.business-standard.com/company/abhishek-infra-31998.html
Abirami Fin.,511756,,https://www.business-standard.com/company/abirami-fin-4693.html
ABL Bio-Tech.,526955,,https://www.business-standard.com/company/abl-bio-tech-5309.html
ABM Knowledge,531161,,https://www.business-standard.com/company/abm-knowledge-5942.html
ABN Granites,515103,,https://www.business-standard.com/company/abn-granites-2902.html
ACC,500410,ACC,https://www.business-standard.com/company/acc-6.html
Accel,517494,,https://www.business-standard.com/company/accel-4280.html
Accelya Solution,532268,ACCELYA,https://www.business-standard.com/company/accelya-solution-14927.html
Accentia Tech.,531897,,https://www.business-standard.com/company/accentia-tech-7565.html
Acclaim Indus.,526347,,https://www.business-standard.com/company/acclaim-indus-3371.html
Accord Synergy,538435,ACCORD,https://www.business-standard.com/company/accord-synergy-70237.html
Accuracy Shippi.,535090,ACCURACY,https://www.business-standard.com/company/accuracy-shippi-65240.html
Accurate Exports,531905,,https://www.business-standard.com/company/accurate-exports-6843.html
Accurate Trans.,530513,,https://www.business-standard.com/company/accurate-trans-5053.html
ACE Edu.,530093,,https://www.business-standard.com/company/ace-edu-4825.html
Ace Integrated,538440,ACEINTEG,https://www.business-standard.com/company/ace-integrated-70990.html
ACE Labs.,526077,ACELAB,https://www.business-standard.com/company/ace-labs-3078.html
Ace Men,539661,,https://www.business-standard.com/company/ace-men-67649.html
Ace Soft. Exp.,531525,,https://www.business-standard.com/company/ace-soft-exp-14129.html
Ace Stonecraft,515133,,https://www.business-standard.com/company/ace-stonecraft-3672.html
Ace Tours,536492,,https://www.business-standard.com/company/ace-tours-42279.html
Acewin Agriteck,539570,,https://www.business-standard.com/company/acewin-agriteck-66758.html
Achal Investment,538570,,https://www.business-standard.com/company/achal-investment-45829.html
ACI Infocom,517356,,https://www.business-standard.com/company/aci-infocom-3330.html
Acil Cott. Inds.,530901,,https://www.business-standard.com/company/acil-cott-inds-6073.html
Acknit Indus.,530043,,https://www.business-standard.com/company/acknit-indus-4826.html
Acme Resources,539391,,https://www.business-standard.com/company/acme-resources-23248.html
Acme Spinners,514342,,https://www.business-standard.com/company/acme-spinners-3457.html
AcroPetal Tech.,533330,ACROPETAL,https://www.business-standard.com/company/acropetal-tech-38892.html
Acrow India,513149,,https://www.business-standard.com/company/acrow-india-819.html
Acrysil,524091,,https://www.business-standard.com/company/acrysil-1200.html
Action Const.Eq.,532762,ACE,https://www.business-standard.com/company/action-const-eq-27338.html
Action Fin.Serv,511706,,https://www.business-standard.com/company/action-fin-serv-4607.html
Active Clothing,541144,,https://www.business-standard.com/company/active-clothing-72266.html
AD Manum Finance,511359,,https://www.business-standard.com/company/ad-manum-finance-3057.html
Adam Comsof,526177,,https://www.business-standard.com/company/adam-comsof-3184.html
Adani Enterp.,512599,ADANIENT,https://www.business-standard.com/company/adani-enterp-4244.html
Adani Gas,542066,ADANIGAS,https://www.business-standard.com/company/adani-gas-39108.html
Adani Green,541450,ADANIGREEN,https://www.business-standard.com/company/adani-green-70666.html
Adani Ports,532921,ADANIPORTS,https://www.business-standard.com/company/adani-ports-21281.html
Adani Power,533096,ADANIPOWER,https://www.business-standard.com/company/adani-power-17808.html
Adani Transmissi,539254,ADANITRANS,https://www.business-standard.com/company/adani-transmissi-66273.html
Adarsh Chemicals,506225,ADARSHCHEM,https://www.business-standard.com/company/adarsh-chemicals-7.html
Adarsh Mercantil,538563,,https://www.business-standard.com/company/adarsh-mercantil-45794.html
Adarsh Plant,526711,,https://www.business-standard.com/company/adarsh-plant-4481.html
ADC India,523411,KRONECOMM,https://www.business-standard.com/company/adc-india-2116.html
Add Life Pharma,524665,,https://www.business-standard.com/company/add-life-pharma-4155.html
Add-Shop Promot.,541865,,https://www.business-standard.com/company/add-shop-promot-73098.html
Addi Inds.,507852,,https://www.business-standard.com/company/addi-inds-996.html
ADF Foods,519183,ADFFOODS,https://www.business-standard.com/company/adf-foods-2416.html
Adharshila Cap.,539493,,https://www.business-standard.com/company/adharshila-cap-7739.html
Adhbhut Infra.,539189,,https://www.business-standard.com/company/adhbhut-infra-26015.html
Adhiraj Distrib.,780018,,https://www.business-standard.com/company/adhiraj-distrib-64826.html
Adhunik Indus.,538365,ADHUNIKIND,https://www.business-standard.com/company/adhunik-indus-26063.html
Adhunik Metal,532727,ADHUNIK,https://www.business-standard.com/company/adhunik-metal-27257.html
Adhunik Synth.,514055,,https://www.business-standard.com/company/adhunik-synth-841.html
Adhunik Yarns,514452,,https://www.business-standard.com/company/adhunik-yarns-4246.html
Adinath Bio-Labs,590088,,https://www.business-standard.com/company/adinath-bio-labs-24284.html
Adinath Exim Res,532056,,https://www.business-standard.com/company/adinath-exim-res-6860.html
Adinath Textiles,514113,,https://www.business-standard.com/company/adinath-textiles-1154.html
Adit.Birla Money,532974,BIRLAMONEY,https://www.business-standard.com/company/adit-birla-money-14343.html
Aditri Indust.,534707,,https://www.business-standard.com/company/aditri-indust-42736.html
Aditya Bir. Fas.,535755,ABFRL,https://www.business-standard.com/company/aditya-bir-fas-40912.html
Aditya Birla Cap,540691,ABCAPITAL,https://www.business-standard.com/company/aditya-birla-cap-40903.html
Aditya Birla Sun,542230,ABSLNN50ET,https://www.business-standard.com/company/aditya-birla-sun-73703.html
Aditya Consumer,540146,,https://www.business-standard.com/company/aditya-consumer-68822.html
Aditya Exports,523417,,https://www.business-standard.com/company/aditya-exports-2127.html
Aditya Forge,522150,,https://www.business-standard.com/company/aditya-forge-3230.html
Aditya Info-Soft,530693,,https://www.business-standard.com/company/aditya-info-soft-5682.html
Aditya Ispat,513513,,https://www.business-standard.com/company/aditya-ispat-3575.html
Aditya Mills,502625,,https://www.business-standard.com/company/aditya-mills-2507.html
Aditya Polymers,514338,,https://www.business-standard.com/company/aditya-polymers-3564.html
Aditya Spinners,521141,ADITYASPIN,https://www.business-standard.com/company/aditya-spinners-3629.html
Aditya Vision,540205,,https://www.business-standard.com/company/aditya-vision-69335.html
Adlabs Entert.,539056,ADLABS,https://www.business-standard.com/company/adlabs-entert-65688.html
Ador Fontech,530431,,https://www.business-standard.com/company/ador-fontech-5062.html
Ador Multi Prod.,523120,,https://www.business-standard.com/company/ador-multi-prod-1390.html
Ador Welding,517041,ADORWELD,https://www.business-standard.com/company/ador-welding-799.html
Adroit Info.,532172,ADROITINFO,https://www.business-standard.com/company/adroit-info-5571.html
Advance Bio-Coal,531271,,https://www.business-standard.com/company/advance-bio-coal-12978.html
Advance Lifes.,521048,,https://www.business-standard.com/company/advance-lifes-3064.html
Advance Meter.,534612,AMTL,https://www.business-standard.com/company/advance-meter-42260.html
Advance Multi.,526331,,https://www.business-standard.com/company/advance-multi-3399.html
Advance Petroch.,506947,,https://www.business-standard.com/company/advance-petroch-8.html
Advance Powerin.,531047,,https://www.business-standard.com/company/advance-powerin-5357.html
Advance Syntex,539982,,https://www.business-standard.com/company/advance-syntex-67931.html
Advance. Enzyme.,540025,ADVENZYMES,https://www.business-standard.com/company/advance-enzyme-19816.html
Advanced Micron.,517552,,https://www.business-standard.com/company/advanced-micron-4508.html
Advani Hotels.,523269,ADVANIHOTR,https://www.business-standard.com/company/advani-hotels-1467.html
Advent Computer,531429,,https://www.business-standard.com/company/advent-computer-6593.html
Advik Capital,539773,,https://www.business-standard.com/company/advik-capital-67920.html
Advik Labs.,531686,,https://www.business-standard.com/company/advik-labs-14103.html
Advitiya Trade,541152,,https://www.business-standard.com/company/advitiya-trade-72298.html
AEC (India),523080,AEC,https://www.business-standard.com/company/aec-india-1403.html
AEC Enterprises,530211,,https://www.business-standard.com/company/aec-enterprises-4903.html
Aegis Logistics,500003,AEGISCHEM,https://www.business-standard.com/company/aegis-logistics-9.html
Aeonian Invest.,503655,,https://www.business-standard.com/company/aeonian-invest-5726.html
Affle India,542752,AFFLE,https://www.business-standard.com/company/affle-india-73060.html
Affordable Robo.,541402,,https://www.business-standard.com/company/affordable-robo-72538.html
Aftek,530707,AFTEK,https://www.business-standard.com/company/aftek-5129.html
Agarwal Indl.,531921,AGARIND,https://www.business-standard.com/company/agarwal-indl-7400.html
AGC Networks,500463,AGCNET,https://www.business-standard.com/company/agc-networks-1079.html
AGI Infra,539042,,https://www.business-standard.com/company/agi-infra-65734.html
Agio Paper,516020,,https://www.business-standard.com/company/agio-paper-1818.html
Agnite Educ.,532358,TELEDATAGL,https://www.business-standard.com/company/agnite-educ-20975.html
Agri Marine Exp.,519536,,https://www.business-standard.com/company/agri-marine-exp-4295.html
Agri-Tech India,537292,AGRITECH,https://www.business-standard.com/company/agri-tech-india-44042.html
Agrimony Comm.,537492,,https://www.business-standard.com/company/agrimony-comm-44073.html
Agro Dutch Inds.,519281,AGRODUTCH,https://www.business-standard.com/company/agro-dutch-inds-3270.html
Agro Phos,538387,AGROPHOS,https://www.business-standard.com/company/agro-phos-68973.html
Agro Tech Foods.,500215,ATFL,https://www.business-standard.com/company/agro-tech-foods-2146.html
AGS Infotech,533314,,https://www.business-standard.com/company/ags-infotech-40569.html
Ahimsa Indust.,532594,AHIMSA,https://www.business-standard.com/company/ahimsa-indust-66592.html
Ahlada Engineers,535111,AHLADA,https://www.business-standard.com/company/ahlada-engineers-73236.html
Ahluwalia Contr.,532811,AHLUCONT,https://www.business-standard.com/company/ahluwalia-contr-7310.html
Ahm. Steelcraft,522273,,https://www.business-standard.com/company/ahm-steelcraft-4382.html
Ahura Welding,530749,,https://www.business-standard.com/company/ahura-welding-5107.html
AI Champ.Inds.,532806,AICHAMP,https://www.business-standard.com/company/ai-champ-inds-6661.html
AIA Engg.,532683,AIAENG,https://www.business-standard.com/company/aia-engg-22825.html
Aikyam Intell.,506822,,https://www.business-standard.com/company/aikyam-intell-1569.html
Aimco Pesticides,524288,AIMCOPEST,https://www.business-standard.com/company/aimco-pesticides-2764.html
Airan,538410,AIRAN,https://www.business-standard.com/company/airan-70221.html
Airo Lam,535016,AIROLAM,https://www.business-standard.com/company/airo-lam-39209.html
Aishwarya Tech.,532975,,https://www.business-standard.com/company/aishwarya-tech-28174.html
Ajanta Pharma,532331,AJANTPHARM,https://www.business-standard.com/company/ajanta-pharma-13504.html
Ajanta Soya,519216,,https://www.business-standard.com/company/ajanta-soya-3123.html
Ajcon Global,511692,,https://www.business-standard.com/company/ajcon-global-4589.html
Ajel,530713,,https://www.business-standard.com/company/ajel-5113.html
Ajmera Realty,513349,AJMERA,https://www.business-standard.com/company/ajmera-realty-2404.html
Ajooni Biotech,535040,AJOONI,https://www.business-standard.com/company/ajooni-biotech-71764.html
Ajwa Fun World,526628,,https://www.business-standard.com/company/ajwa-fun-world-4208.html
Akar Auto,530621,,https://www.business-standard.com/company/akar-auto-5156.html
Akar Laminators,500005,AKARLAMIN,https://www.business-standard.com/company/akar-laminators-2683.html
Akash InfraProj.,538409,AKASH,https://www.business-standard.com/company/akash-infraproj-35318.html
Akashdeep Metal,538778,,https://www.business-standard.com/company/akashdeep-metal-24634.html
AKG Exim,535110,AKG,https://www.business-standard.com/company/akg-exim-73237.html
AKI India,542020,,https://www.business-standard.com/company/aki-india-72485.html
AKM Lace,540718,,https://www.business-standard.com/company/akm-lace-71402.html
Akme Star Hou. F,539017,,https://www.business-standard.com/company/akme-star-hou-f-64811.html
Aksh Optifibre,532351,AKSHOPTFBR,https://www.business-standard.com/company/aksh-optifibre-15046.html
Akshar Spintex,541303,,https://www.business-standard.com/company/akshar-spintex-72537.html
AksharChem (I),524598,AKSHARCHEM,https://www.business-standard.com/company/aksharchem-i-3971.html
Akzo Nobel,500710,AKZOINDIA,https://www.business-standard.com/company/akzo-nobel-266.html
Alacrity Electr.,517362,,https://www.business-standard.com/company/alacrity-electr-3437.html
Alacrity Housg.,523738,,https://www.business-standard.com/company/alacrity-housg-2774.html
Alacrity Sec.,535916,,https://www.business-standard.com/company/alacrity-sec-38490.html
Alan Scott Inds.,539115,,https://www.business-standard.com/company/alan-scott-inds-4167.html
Alang Indl.Gas.,531517,,https://www.business-standard.com/company/alang-indl-gas-12777.html
Alang Marine,520133,,https://www.business-standard.com/company/alang-marine-4097.html
Alankit,531082,ALANKIT,https://www.business-standard.com/company/alankit-5553.html
Albert David,524075,ALBERTDAVD,https://www.business-standard.com/company/albert-david-1254.html
Alchemist,526707,ALCHEM,https://www.business-standard.com/company/alchemist-4502.html
Alchemist Corp.,531409,,https://www.business-standard.com/company/alchemist-corp-6610.html
Alchemist Realty,532114,,https://www.business-standard.com/company/alchemist-realty-6653.html
Alembic,506235,ALEMBICLTD,https://www.business-standard.com/company/alembic-632.html
Alembic Pharma,533573,APLLTD,https://www.business-standard.com/company/alembic-pharma-40294.html
Alert Petrogas,501415,,https://www.business-standard.com/company/alert-petrogas-4458.html
Alexander Stamps,511463,,https://www.business-standard.com/company/alexander-stamps-3702.html
Alexcon Roamcast,507933,,https://www.business-standard.com/company/alexcon-roamcast-2090.html
Alfa Ica (I),530973,,https://www.business-standard.com/company/alfa-ica-i-5730.html
Alfa Transformer,517546,,https://www.business-standard.com/company/alfa-transformer-4497.html
Alfavision Overs,531156,,https://www.business-standard.com/company/alfavision-overs-5918.html
Alfred Herbert,505216,ALFREDHERB,https://www.business-standard.com/company/alfred-herbert-11.html
Alicon Cast.,531147,ALICON,https://www.business-standard.com/company/alicon-cast-5951.html
Alka Diamond Ind,531581,,https://www.business-standard.com/company/alka-diamond-ind-14412.html
Alka India,530889,,https://www.business-standard.com/company/alka-india-5279.html
Alka Securities,532166,,https://www.business-standard.com/company/alka-securities-18963.html
Alkali Metals,533029,ALKALI,https://www.business-standard.com/company/alkali-metals-25502.html
Alkem Lab,539523,ALKEM,https://www.business-standard.com/company/alkem-lab-19299.html
Alkyl Amines,506767,ALKYLAMINE,https://www.business-standard.com/company/alkyl-amines-633.html
All Met.Pro.Inds,511088,,https://www.business-standard.com/company/all-met-pro-inds-2767.html
Allahabad Bank,532480,ALBK,https://www.business-standard.com/company/allahabad-bank-5675.html
Allcargo Logist.,532749,ALLCARGO,https://www.business-standard.com/company/allcargo-logist-27333.html
Alliance Integ.,534064,,https://www.business-standard.com/company/alliance-integ-7708.html
Allied Computer.,532919,,https://www.business-standard.com/company/allied-computer-27665.html
Allied Digital,532875,ADSL,https://www.business-standard.com/company/allied-digital-18410.html
Allied Herbals,523030,,https://www.business-standard.com/company/allied-herbals-7619.html
Allsec Tech.,532633,ALLSEC,https://www.business-standard.com/company/allsec-tech-24853.html
Allsoft Corp.,532327,,https://www.business-standard.com/company/allsoft-corp-23291.html
Almondz Global,531400,ALMONDZ,https://www.business-standard.com/company/almondz-global-6570.html
Alna Trading,506120,,https://www.business-standard.com/company/alna-trading-7032.html
Alok Inds.,521070,ALOKTEXT,https://www.business-standard.com/company/alok-inds-3118.html
Alora Trading,539693,,https://www.business-standard.com/company/alora-trading-43590.html
Alpa Lab.,532878,ALPA,https://www.business-standard.com/company/alpa-lab-27710.html
Alpha Graphic,531720,,https://www.business-standard.com/company/alpha-graphic-7195.html
Alpha Hi-Tech,531247,,https://www.business-standard.com/company/alpha-hi-tech-6252.html
Alphageo (India),526397,ALPHAGEO,https://www.business-standard.com/company/alphageo-india-3559.html
Alphalogic Tech.,542770,,https://www.business-standard.com/company/alphalogic-tech-74495.html
Alpic Finance,511325,ALPICFIN,https://www.business-standard.com/company/alpic-finance-2811.html
Alpine Capital,511694,,https://www.business-standard.com/company/alpine-capital-4633.html
Alpine Housing,526519,ALPINEHOU,https://www.business-standard.com/company/alpine-housing-3976.html
Alpine Inds.,519012,ALPINEIND,https://www.business-standard.com/company/alpine-inds-13.html
Alps Bpo Service,531924,,https://www.business-standard.com/company/alps-bpo-service-7253.html
Alps Inds.,530715,ALPSINDUS,https://www.business-standard.com/company/alps-inds-5135.html
Alps Motor Fin,538423,,https://www.business-standard.com/company/alps-motor-fin-14515.html
Alsa Marine,523447,ALSAMARINE,https://www.business-standard.com/company/alsa-marine-2201.html
Alstone Textiles,539277,,https://www.business-standard.com/company/alstone-textiles-54821.html
Alufluoride,524634,,https://www.business-standard.com/company/alufluoride-4079.html
Aluminium Inds.,503928,,https://www.business-standard.com/company/aluminium-inds-1459.html
Amal,506597,,https://www.business-standard.com/company/amal-439.html
Amalgamated Elec,501622,,https://www.business-standard.com/company/amalgamated-elec-1509.html
Amani Trad.& Exp,512008,,https://www.business-standard.com/company/amani-trad-exp-1690.html
Amar Remedies,532664,AMAR,https://www.business-standard.com/company/amar-remedies-21338.html
Amara Raja Batt.,500008,AMARAJABAT,https://www.business-standard.com/company/amara-raja-batt-2110.html
Amarjothi Spg.,521097,AMARJOTHI,https://www.business-standard.com/company/amarjothi-spg-3374.html
Amarnath Sec.,538465,,https://www.business-standard.com/company/amarnath-sec-7349.html
Amaze Entertech,531112,,https://www.business-standard.com/company/amaze-entertech-5893.html
Amba Enterprises,539196,,https://www.business-standard.com/company/amba-enterprises-7637.html
Ambalal Sarabhai,500009,AMBASARABH,https://www.business-standard.com/company/ambalal-sarabhai-14.html
Ambani Organics,535097,AMBANIORG,https://www.business-standard.com/company/ambani-organics-73033.html
Ambar Protein,519471,,https://www.business-standard.com/company/ambar-protein-4340.html
Ambassador Intra,542524,,https://www.business-standard.com/company/ambassador-intra-74025.html
Amber Enterp.,540902,AMBER,https://www.business-standard.com/company/amber-enterp-45967.html
Amber Fabrics,536820,,https://www.business-standard.com/company/amber-fabrics-24302.html
Ambica Agarbat.,532335,AMBICAAGAR,https://www.business-standard.com/company/ambica-agarbat-7817.html
Ambik Proteins,519240,,https://www.business-standard.com/company/ambik-proteins-3294.html
Ambika Cotton,531978,AMBIKCO,https://www.business-standard.com/company/ambika-cotton-16020.html
Ambition Mica,539223,,https://www.business-standard.com/company/ambition-mica-65918.html
Ambitious Plasto,526439,,https://www.business-standard.com/company/ambitious-plasto-3640.html
Ambuja Cem.,500425,AMBUJACEM,https://www.business-standard.com/company/ambuja-cem-218.html
Ambuja Electro,513317,AMBUJELCST,https://www.business-standard.com/company/ambuja-electro-2077.html
Ambuja Zinc,513357,,https://www.business-standard.com/company/ambuja-zinc-2471.html
Amco India,530133,,https://www.business-standard.com/company/amco-india-4849.html
AMD Industries,532828,AMDIND,https://www.business-standard.com/company/amd-industries-27530.html
Amforge Inds.,513117,AMFORGEIND,https://www.business-standard.com/company/amforge-inds-638.html
Ami Computers,526805,,https://www.business-standard.com/company/ami-computers-4703.html
Amin Tannery,541771,,https://www.business-standard.com/company/amin-tannery-67698.html
Amines & Plast.,506248,,https://www.business-standard.com/company/amines-plast-635.html
Amison Foods,519275,,https://www.business-standard.com/company/amison-foods-3223.html
Amit Intl.,531300,,https://www.business-standard.com/company/amit-intl-13074.html
Amit Securities,531557,,https://www.business-standard.com/company/amit-securities-12258.html
Amit Spinning,521076,ASIL,https://www.business-standard.com/company/amit-spinning-3175.html
AMJ Land,500343,AMJLAND,https://www.business-standard.com/company/amj-land-453.html
AML Steel,530464,AMLSTEEL,https://www.business-standard.com/company/aml-steel-6575.html
Amradeep Inds.,531681,,https://www.business-standard.com/company/amradeep-inds-7202.html
Amrapali Capital,536737,,https://www.business-standard.com/company/amrapali-capital-43829.html
Amrapali Fincap,539265,,https://www.business-standard.com/company/amrapali-fincap-66247.html
Amrapali Inds.,526241,,https://www.business-standard.com/company/amrapali-inds-3423.html
Amraworld Agrico,531991,,https://www.business-standard.com/company/amraworld-agrico-23012.html
Amrit Corp,507525,,https://www.business-standard.com/company/amrit-corp-781.html
Amrutanjan Healt,590006,AMRUTANJAN,https://www.business-standard.com/company/amrutanjan-healt-17.html
Amsons Apparels,538861,,https://www.business-standard.com/company/amsons-apparels-64949.html
Amtek Auto,520077,AMTEKAUTO,https://www.business-standard.com/company/amtek-auto-1255.html
Anand Proj.,501630,,https://www.business-standard.com/company/anand-proj-1994.html
Anand Rayons,542721,,https://www.business-standard.com/company/anand-rayons-74079.html
Anant Raj,515055,ANANTRAJ,https://www.business-standard.com/company/anant-raj-1538.html
Andhra Bank,532418,ANDHRABANK,https://www.business-standard.com/company/andhra-bank-5859.html
Andhra Cements,532141,ANDHRACEMT,https://www.business-standard.com/company/andhra-cements-19.html
Andhra Petrochem,500012,ANDHRAPET,https://www.business-standard.com/company/andhra-petrochem-2242.html
Andhra Sugars,590062,ANDHRSUGAR,https://www.business-standard.com/company/andhra-sugars-2259.html
Andrew Yule & Co,526173,ANDREWYULE,https://www.business-standard.com/company/andrew-yule-co-726.html
Aneri Fincap,531252,,https://www.business-standard.com/company/aneri-fincap-6189.html
ANG Inds,530721,ANGIND,https://www.business-standard.com/company/ang-inds-5120.html
ANG Lifesciences,540694,,https://www.business-standard.com/company/ang-lifesciences-70392.html
Angel Fibers,541006,,https://www.business-standard.com/company/angel-fibers-72142.html
ANI Integrated,535028,AISL,https://www.business-standard.com/company/ani-integrated-71671.html
Anik Industries,519383,ANIKINDS,https://www.business-standard.com/company/anik-industries-3704.html
Anil,532910,,https://www.business-standard.com/company/anil-23166.html
Anil Spl Steel,504629,ASILIND,https://www.business-standard.com/company/anil-spl-steel-2037.html
Anisha Impex,537785,,https://www.business-standard.com/company/anisha-impex-44237.html
Anjani Finance,531878,,https://www.business-standard.com/company/anjani-finance-7150.html
Anjani Foods,511153,,https://www.business-standard.com/company/anjani-foods-6806.html
Anjani Portland,518091,APCL,https://www.business-standard.com/company/anjani-portland-3364.html
Anjani Synth.,531223,,https://www.business-standard.com/company/anjani-synth-6118.html
Anka India,531673,,https://www.business-standard.com/company/anka-india-6922.html
Ankit Met.Power,532870,ANKITMETAL,https://www.business-standard.com/company/ankit-met-power-27538.html
Ankur Drugs,531683,ANKURDRUGS,https://www.business-standard.com/company/ankur-drugs-14618.html
Ankush Finstock,531519,,https://www.business-standard.com/company/ankush-finstock-6906.html
Anmol India,542437,,https://www.business-standard.com/company/anmol-india-73587.html
Anna Infrastruct,530799,,https://www.business-standard.com/company/anna-infrastruct-5972.html
ANS Industries,531406,,https://www.business-standard.com/company/ans-industries-6453.html
Ansal Buildwell,523007,,https://www.business-standard.com/company/ansal-buildwell-1353.html
Ansal Housing,507828,ANSALHSG,https://www.business-standard.com/company/ansal-housing-1259.html
Ansal Properties,500013,ANSALAPI,https://www.business-standard.com/company/ansal-properties-2820.html
Anshuni Commerc.,512091,,https://www.business-standard.com/company/anshuni-commerc-1699.html
Antarctica,526715,ANTGRAPHIC,https://www.business-standard.com/company/antarctica-4498.html
Antariksh Indus.,501270,,https://www.business-standard.com/company/antariksh-indus-19918.html
Anu's Lab.,532981,,https://www.business-standard.com/company/anu-s-lab-28349.html
Anubhav Infrast.,538833,,https://www.business-standard.com/company/anubhav-infrast-44323.html
Anuh Pharma,506260,,https://www.business-standard.com/company/anuh-pharma-2916.html
Anukaran Commerc,512355,,https://www.business-standard.com/company/anukaran-commerc-2623.html
Anup Malleables,506087,,https://www.business-standard.com/company/anup-malleables-23472.html
Anupam Finserv,530109,,https://www.business-standard.com/company/anupam-finserv-4848.html
AP Scooters,505021,,https://www.business-standard.com/company/ap-scooters-2.html
AP Tanneries,509367,,https://www.business-standard.com/company/ap-tanneries-5731.html
Apar Inds.,532259,APARINDS,https://www.business-standard.com/company/apar-inds-2035.html
